"artifactNumber","ObjectName","GeneralDescription","model","SerialNumber","Manufacturer","ManuCountry","ManuProvince","ManuCity","BeginDate","EndDate","date_qualifier","patent","NumberOfComponents","ArtifactFinish","ContextCanada","ContextFunction","ContextTechnical","group1","category1","subcategory1","group2","category2","subcategory2","group3","category3","subcategory3","material","Length","Width","Height","Thickness","Weight","Diameter","image","thumbnail"
"1966.0012.001","Propeller","WOOD","","82941","Unknown","Unknown","","","","","","","1","PAINTED BLACK, YELLOW TIPS","","Aircraft propulsion","","Aviation","Aircraft parts","","","","","","","","wood","","","","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0012.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0012.001.aa.cs.thumb.png"
"1966.0016.001","Propeller","WOOD/ METAL LEADING EDGE & TIPS/ METAL HUB ASSEMBLY","","13767","Flottorp","United States of America","Michigan","Grand rapids","","","","","1","Semi-gloss finish","","Aircraft propulsion","","Aviation","Aircraft parts","","","","","","","","wood~metal","190.0 cm","15.0 cm","11.0 cm","","6.7 kg","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0016.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0016.001.aa.cs.thumb.png"
"1966.0017.001","Propeller","WOOD/ METAL PLATE OVER HUB","","11993/3316","Unknown","Unknown","","","","","","","1","Reddish varnish/ Hub has bolts & metal cover plate","","Aircraft propulsion","","Aviation","Aircraft parts","","","","","","","","wood~metal","244.0 cm","25.0 cm","9.5 cm","","10.8 kg","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0017.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0017.001.aa.cs.thumb.png"
"1966.0018.001","Propeller","WOODEN PROPELLER WITH METAL TRAILING EGDES AND TIPS/ BRASS MFR'S PLATE","","457","Requa Gibson Propeller","United States of America","","","1910","","circa","pending","1","BLADES ARE COVERED WITH TIN AT THE ENDS/ TIN SHOWS SIGNS OF BLUE PAINT","The Requa Gibson, the first U.S. propeller production facility, was founded in 1909 and was headed by Canadian engineer Wallace R. Turnbull.","Aircraft propulsion","","Aviation","Aircraft parts","","","","","","","","wood->ash~metal->brass~metal->tin","214.0 cm","22.0 cm","10.8 cm","","6.5 kg","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0018.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0018.001.aa.cs.thumb.png"
"1966.0020.001","Propeller","WOOD/ METAL","","G1710","S & S Aircraft Co.","Canada","Manitoba","Winnipeg","1942","","","","1","HAS METAL LEADING EDGE & HUB BOLTS","","Aircraft propulsion","","Aviation","Aircraft parts","","","","","","","","wood~metal","230.0 cm","25.0 cm","20.0 cm","","23.0 kg","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0020.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0020.001.aa.cs.thumb.png"
"1966.0022.001","Propeller","WOOD","","1392","Jacuzzi Bros. Inc.","United States of America","California","Berkeley","","","","","1","Varnished","","Aircraft propulsion","","Aviation","Aircraft parts","","","","","","","","wood","242.0 cm","21.0 cm","9.8 cm","","7.7 kg","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0022.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0022.001.aa.cs.thumb.png"
"1966.0024.001","Propeller","WOOD/ METAL HUB ASSEMBLY","PARAGON","1185 4616","American Propeller & Mfg. Co.","United States of America","Maryland","Baltimore","","","","TRADEMARK~ PARAGON","1","SEVERAL LAYERS OF VARNISH","","Aircraft propulsion","","Aviation","Aircraft parts","","","","","","","","wood~metal","252.0 cm","22.5 cm","10.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0024.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0024.001.aa.cs.thumb.png"
"1966.0028.001","Propeller","WOOD/ METAL/ FIBRE","WOLSELEY VIPER","C414N26/AB7673","Unknown","Unknown","","","","","","","1","Reddish varnish with grey painted blades/ HAS METAL TIPS/ MINOR CHIPS","","Aircraft propulsion","","Aviation","Aircraft parts","","","","","","","","wood~metal~fibre","243.0 cm","20.0 cm","15.0 cm","","9.25 kg","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0028.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0028.001.aa.cs.thumb.png"
"1966.0029.001","Compass, solar","BRASS CONSTRUCTION~ STERLING SILVER ARCS AND GRADUATIONS OF LIMB~ GLASS TUBE LEVEL VIALS. WOODEN CASE FITTED WITH BRASS HINGES.","","","Gurley, W. & L.E.","United States of America","New york","Troy","1891","1910","circa","SOLAR COMPASS INVENTED BY WILLIAM AUSTIN BURT, MICHIGAN, OHIO USA AND PATENTED 1836. (REF.3)","1","","","USED BY SURVEYORS TO DETERMINE THE MERIDIAN (NORTH- SOUTH LINE) BY USING THE SUN'S POSITION AS A REFERENCE.","TRANSIT INST. INVENTED BY WILLIAM AUSTIN BURT OF MICHIGAN, OHIO, AND PAT'D 1836. THE FIRST INSTS. WERE MFD. BY W.J. YOUNG & SONS, PHILADELPHIA~ GURLEY BEGAN MFG THEIR'S C. 1860. SOLAR COMPASS PLAYED A MAJOR ROLE IN PUBLIC LAND SURVEYS IN U.S. FOR 100 YRS. +, AS PRINCIPAL LINES WERE RUN WITH REFERENCE TO TRUE MERIDIAN.","Exploration and Survey","Measurement-angles","Horizontal","","","","","","","metal->brass~metal->silver~glass~wood","23.0 cm","19.5 cm","10.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0029.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0029.001.aa.cs.thumb.png"
"1966.0031.001","Engine, automobile","CAST IRON/ STEEL/ ASSORTED METALS","OLDSMOBILE ROCKET","567771 ?","General Motors of Canada Ltd.","Canada","Ontario","Oshawa","1948","","after","","1","PAINTED RED","","","","Motorized Ground Transportation","Automotive engineering","","","","","","","","metal->cast-iron~metal->steel","90.0 cm","97.0 cm","76.0 cm","","685.0 lbs","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0031.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0031.001.aa.cs.thumb.png"
"1966.0032.001","Amplifier, microwave","METAL/ SYNTHETIC POWER CORDS & KNOBS/ WOOD CASE WITH FELT LINING","WM111CBN","6 TW","International Telephone & Telegraph","England","","","","","","","1","PAINTED BLACK ENAMEL/ METALLIC PARTS/ BLACK KNOBS/ BLACK & BLUE SYNTHETIC/ UNFINISHED WOOD WITH GREEN FELT","","AMPLIFIES MICROWAVE SIGNALS","","Communications","Radar","","","","","","","","metal->~synthetic->~wood->~fibre->felt","44.2 cm","14.0 cm","16.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0032.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0032.001.aa.cs.thumb.png"
"1966.0033.001","Clock","BRASS CASING/ METAL HANDS, WORKS, FACE (?)/ GLASS CRYSTAL","ASTRAL","","SMITHS CLOCKS & WATCHES LTD.","England","","London","","","","","1","BRUSHED AND POLISHED AREAS ON BRASS CASING/ BLACK MARKINGS, MINUTE AND HOUR HANDS~ RED SECOND HAND SET AGAINST WHITE FACE/ FLACK ENAMEL-PAINTED(?) BACK","","","","Horology","Clocks","Marine","Marine Transportation","Miscellaneous","","","","","metal->brass~glass","","26.7 cm","10.3 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0033.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0033.001.aa.cs.thumb.png"
"1966.0034.001","Clock works","METAL (TIN?) CLOCK FACE AND HANDS/ METAL WORKS","","","SELF WINDING CLOCK CO.","United States of America","New york","New york","","","","","1","BLACK ROMAN NUMERALS AGAINST WHITE CLOCK FACE","","","","Horology","Clocks","Clock parts","","","","","","","metal->tin","31.4 cm","13.2 cm","44.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0034.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0034.001.aa.cs.thumb.png"
"1966.0035.001","Watch, pocket","METAL BODY/ ENAMEL OR PORCELAIN FACE/ GLASS CRYSTAL","FORTUNE","8820573","American Waltham Watch Co.","United States of America","","","1898","","","","1","GOLD PLATED/ SOME BLUEING OF WORKS/ BLACK ROMAN AND ARABIC NUMERALS SET AGAINST WHITE FACE","","","","Horology","Watches","Pocket","","","","","","","metal~glass~ceramic","7.5 cm","5.5 cm","1.2 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0035.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0035.001.aa.cs.thumb.png"
"1966.0036.001","Watch, pocket","STEEL CASING/ PORCELAIN FACE","","4790","FIGARO ?","Switzerland","","","","","","","1","BLACK WATCH BODY WITH BRASS-LIKE PIPING AROUND BEZEL/ BLACK ARABIC NUMERALS SET AGAINST WHITE FACE","","","","Horology","Watches","Pocket","","","","","","","metal->steel~ceramic->porcelain","5.8 cm","4.1 cm","1.1 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0036.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0036.001.aa.cs.thumb.png"
"1966.0037.001","Headlamp","SHEET AND CAST METAL (IRON?)/ GLASS LENS","","1464-G","PYLE-NATIONAL CO.","United States of America","Illinois","Chicago","1900","1950","between","","1","PAINTED BLACK","","","ELECTRIC HEADLAMPS WERE INSTALLED IN LOCOMOTIVES AFTER 1895/ PREVIOUSLY LAMPS WERE FUELED BY ACETYLENE~ KEROSENE OR BY A CARBON ARC.","Railway Transportation","Motive power","Parts & accessories","Lighting Technology","Lighting devices","Electric","","","","metal->iron~glass","47.0 cm","38.0 cm","43.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0037.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0037.001.aa.cs.thumb.png"
"1966.0038.001","Board, order","CAST IRON BODY AND MOUNT/ GLASS LENSES/ WOODEN ARM ATTACHMENT","","","PIPER, HIRAM L. CO.","Canada","Québec","Montréal","1919","","after","'PATENTED FEBRUARY, 1915' CAST INTO BASE, BELOW MFR'S INFO","1","BLACK METAL BODY/ ONE EACH RED AND GREEN LENS/ WOOD BASE PAINTED RED WITH WHITE STRIPES","","SIGNALED TRAIN ENGINEER TO STOP AT STATION AND PICK UP THE DISPATCHER'S ORDERS","","Railway Transportation","Operations","Track equipment","","","","","","","metal->cast-iron~glass~wood","53.0 cm","51.0 cm","12.3 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0038.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0038.001.aa.cs.thumb.png"
"1966.0039.001","Drill, track","CAST METAL (IRON?) WORKS/ WOODEN HANDLES","","","Unknown","Unknown","","","1900","1930","circa","","1","BADLY CORRODED","","USED TO SPLICE BARS ON RAILWAY TRACK RAILS/ DRILLS HOLES FOR RAIL JOINERS","","Railway Transportation","Operations","Track equipment","","","","","","","metal~wood","123.5 cm","73.5 cm","91.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0039.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0039.001.aa.cs.thumb.png"
"1966.0040.001","Bell, locomotive","METAL (POSSIBLY BRASS)","","","Unknown","Unknown","","","","","","","1","SMOOTH FINISH/ THREADED POST","","","","Railway Transportation","Motive power","Parts & accessories","","","","","","","metal","","43.0 cm","41.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0040.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0040.001.aa.cs.thumb.png"
"1966.0042.001","Valve, inner tube","BRASS/ FERROUS METAL","VS74 TR16","","Dill Canada","Canada","","","","","","","1","NICKEL PLATED","MADE IN CANADA","VALVE FOR INNER TUBE USED ON EARLY CARS WITH WIRE WHEELS","EXAMPLE OF COMPLETE EARLY VALVE INCLUDING STEM, BRIDGE WASHER, LOCKNUT, RIM WASHER & DUST COVER.","Motorized Ground Transportation","Automotive parts","Rims, wheels & tires","","","","","","","metal->brass","7.6 cm","4.5 cm","2.2 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0042.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0042.001.aa.cs.thumb.png"
"1966.0043.001","Therapy machine, cobalt","METAL, SYNTHETIC & WOOD COMPONENTS.","THERATRON JUNIOR/C","15","Atomic Energy of Canada Ltd.","Canada","Ontario","Ottawa","1956","","",""CANADIAN & US PATENTS PENDING" PRINTED ON MFR'S PLATE.","2","PAINTED MEDIUM GREEN ENAMEL~ PLATED PARTS~ BLACK SYNTHETIC CABLES.","THIS COBALT THERAPY MACHINE WAS MFD BY AECL, A WORLD LEADER IN APPLYING NUCLEAR TECHNOLOGY FOR MEDICAL PURPOSES. AECL IS ALSO A MAJOR SUPPLIER OF RADIOACTIVE SOURCE MATERIAL (RADIOISOTOPES) FOR THERAPY.","TO DELIVER COBALT-60 (RADIOACTIVE ISOTOPE OF COBALT) RADIATION, USED IN TREATMENT OF MALIGNANT TUMOURS.","COBALT BEAM THERAPY INVOLVES THE USE OF GAMMA RADIATION FROM A COBALT-60SOURCE MOUNTED IN A COBALT BOMB. THIS BOMB CONSISTS OF A QUANTITY OF COBALT-60 MOUNTED IN A LEAD WALLED HOUSING WITH A LEAD PLUG WHICH CAN BE REMOVED TO RELEASE A BEAM OF GAMMA RAYS. THESE RAYS ARE DIRECTED AT MALIGNANT TUMOUR SITES. THE "JUNIOR" MODEL WAS PRODUCED UNTIL 1961 & WAS VERY POPULAR: 137 UNITS WERE MFD. (S.I. NOTES)","Medical Technology","Radiology","Radiation equipment","","","","","","","metal~synthetic~wood","262.0 cm","117.0 cm","178.0 cm","","2404.1 (approx.) kg","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0043.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0043.001.aa.cs.thumb.png"
"1966.0043.002","Control unit","METAL, SYNTHETIC & WOOD COMPONENTS.","THERATRON JUNIOR/C","","Atomic Energy of Canada Ltd.","Canada","Ontario","Ottawa","","","","","2","VARNISHED (?) WOOD~ FRONT PANEL PAINTED MEDIUM GREY ENAMEL~ METALLIC PARTS~ BLACK SYNTHETIC CONTROLS.","","","","Medical Technology","Radiology","Radiation equipment","","","","","","","metal~synthetic~wood","44.0 cm","24.5 cm","29.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0043.002.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0043.002.aa.cs.thumb.png"
"1966.0046.001","Camera","CAST STEEL BODY/ GLASS LENS ELEMENTS & FILM PLATES/ WOOD HANDLES/ SYNTHETIC","","","A M MEASUREMENTS LTD.","","","","","","","","3","GREY ENAMEL BODY/ PLATED PARTS/ BLACK ENAMEL HANDLES","","USED IN AERIAL PHOTOGRAPHY","","Photography","Still cameras","Specialized","","","","","","","metal->steel~glass~wood~synthetic","38.0 cm","30.5 cm","34.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0046.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0046.001.aa.cs.thumb.png"
"1966.0046.002","Camera body","CAST STEEL BODY/ GLASS LENS ELEMENTS & FILM PLATES/ WOOD HANDLES/ SYNTHETIC","","015348-LENS","A M MEASUREMENTS LTD.","","","","","","","","3","GREY ENAMEL AND BLACK ENAMEL PAINT","","","","Photography","Still cameras","Specialized","","","","","","","metal->steel~glass~wood~synthetic","22.5 cm","15.0 cm","19.4 cm","","","","",""
"1966.0046.003","Camera body","CAST STEEL BODY/ GLASS LENS ELEMENTS & FILM PLATES/ WOOD HANDLES/ SYNTHETIC","","","A M MEASUREMENTS LTD.","","","","","","","","3","GREY ENAMEL AND BLACK ENAMEL PAINT","","","","Photography","Still cameras","Specialized","","","","","","","metal->steel~glass~wood~synthetic","22.5 cm","15.0 cm","19.4 cm","","","","",""
"1966.0047.001","Camera","CAST STEEL BODY/ WOOD HANDLES","","","Unknown","Unknown","","","","","","","1","BLACK WRINKLE FINISH/ METALLIC PARTS/ BLACK ENAMEL PARTS/ VARNISHED? WOOD","","AERIAL PHOTOGRAPHY","","Photography","Still cameras","Specialized","","","","","","","metal->steel~wood","39.0 cm","39.0 cm","28.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0047.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0047.001.aa.cs.thumb.png"
"1966.0048.001","Camera","Cast steel body/ Glass lens element/ Synthetic/ Leather box? with plush lining.","K17C","AC-44-190835","Folmer Graflex Corp.","United States of America","New york","Rochester","1926","1943","between","Lens cone: US Patent Nos. 1,517,550~ 1,568,969~ 1,612,860~ 1,619,108~ 1,622,125~ 1,626,032~ 1,661,364~ 1,707,849~ 1,723,926~ 1,735,109~ 1,775,731~ 1,778,027~ 1,779,424~ 1,782,864~ 1,804,680~ 1,817,182~ 1,821,492~ 1,835,457~ 1,863,573~ 1,890,074~ 1,942,161~ 1,974,842~ 2,032,380~ 2,048,439~ 2,055,089~ 2,061,192~ 2,131,926~ 2,133,011~Lens patent No. 2,031,792","1","Silver-grey base/ Semi-crackle black lens cone & motor/ Plated parts/ Black box with blue lining.","Unknown. This camera has only USAAF numbers and markings. The K-series camera appears to have been the model of aerial camera favoured by the USAAF during the interwar period 1920-1942 Aerial photography has been used "for mapping, charting of the sea coasts, building of highways, town planning and any ground activity where a measure of size or change must be made. Aerial photography provided the first true measure of the size and physical makeup of the surface of Canada. It has played a vital role in major engineering developments such as the Trans-Canada Highway and the St. Lawrence Seaway. Aerial photography proved invaluable in the opening of the North and in the evaluation of Canada's forest resources."","Aerial photography.","When the US entered WW2, the K-3 (Graflex/Fairchild) was replaced by the improved K-17 model. The K-17 has a shorter focal length than later cameras and was used for lower altitude reconnaissance in faster fighter aircraft (e.g. P-38). It appears that most of the patents found on the camera were assigned to the Fairchild Aviation Corp.~ however, both Graflex and Fairchild built these cameras.","Photography","Still cameras","Specialized","Exploration and Survey","Photogrammetry","Photographic equipment","Aviation","Miscellaneous","","metal->steel~glass->~synthetic->~skin->leather~fibre","50.0 cm","44.0 cm","31.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0048.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0048.001.aa.cs.thumb.png"
"1966.0049.001","Camera","METAL CAMERA BODY/ METAL & WOOD FILM HOLDERS/ GLASS LENS ELEMENT/ CLOTH SHUTTER/ LEATHER?/ WOOD CASE","Aero A1","15416","Eastman Kodak Co.","United States of America","New york","Rochester","1919","1926","between","PAT'D MAY 27, 1919","4","PAINTED ARMY GREEN/ BLACK CLOTH & LEATHER?/ CASE LACQUERED","","AERIAL PHOTOGRAPHY","","Photography","Still cameras","Specialized","Exploration and Survey","Photogrammetry","Photographic equipment","","","","metal->~wood->~glass->~fibre->~skin->leather - possible","48.0 cm","32.0 cm","29.6 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0049.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0049.001.aa.cs.thumb.png"
"1966.0049.002","Holder, film","","","0354-LENS","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0049.002.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0049.002.aa.cs.thumb.png"
"1966.0049.003","Holder, film","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0049.003.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0049.003.aa.cs.thumb.png"
"1966.0049.004","Sight, camera","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","",""
"1966.0050.001","Camera","CAST STEEL/ GLASS LENS ELEMENTS","F224","302","Fairchild Camera & Instrument Corp.","United States of America","New york","New york","","","","U.S. PATENT NOS. 1,723,926~ 1,735,109~ 1.775,731~ 1,778,027~ 1,779,424~ 1,782,864~ 1,804,680~ 1,817,182~ 1,821,492~ 1,835,457~ 1,848,871~ 1,863,573~ 1,890,074~ 1,942,161~ 1,974,842~ 2,032,380~ 2,048,439~ 2,055,089~ 2,061,192~ 2,131,926~ 2,133,011~ 2,342,509~ 2,342,510~ 2,342,511~ 2,342,512~ 2,342,513~ 2,372,974~ 2,380,034~ 2,399,476~LENS PATENT NO. 2,031,792","1","GREY WRINKLE FINISH PAINT/ PLATED PARTS","","AERIAL PHOTOGRAPHY","","Photography","Still cameras","Specialized","Exploration and Survey","Photogrammetry","Photographic equipment","","","","metal->steel~glass","43.0 cm","36.0 cm","37.5 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0050.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0050.001.aa.cs.thumb.png"
"1966.0051.001","Holder, roll film","CAST STEEL","A-5-A","46-3","Fairchild Camera & Instrument Corp.","United States of America","New york","New york","","","","U.S. PATENT NOS. BETWEEN 1,517,550 & 2,133,011 (SEE COMPLETE LIST IN SUPP. INFO. 660048)","1","BLACK WRINKLE FINISH/ PLATED PARTS","","","","Photography","Still camera parts","Backs","","","","","","","metal->steel","38.0 cm","36.0 cm","19.0 cm","","","","http://source.techno-science.ca/artifacts-artefacts/images/1966.0051.001.aa.cs.png","http://source.techno-science.ca/artifacts-artefacts/images/1966.0051.001.aa.cs.thumb.png"
